Outlook,Temp,Hum,Wind,Play Tennis
Sunny,Hot,High,Weak,No
Sunny,Hot,High,Strong,No
Overcast,Hot,High,Weak,Yes
Rain, Mild,High,Weak,Yes
Rain,Cool,Normal,Weak,Yes
Rain,Cool,Normal,Strong,No
Overcast,Cool,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Sunny,Cool,Normal,Weak,Yes
Rain,Mild,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Overcast,Mild,High,Strong,Yes
Overcast,Hot,Normal,Weak,Yes
Rain,Hot,High,Weak,No
Sunny,Cool,High,Strong,No
Overcast,Hot,High,Strong,Yes
Rain,Mild,High,Strong,No
Sunny,Mild,High,Weak,No
Overcast,Cool,High,Weak,Yes
Rain,Cool,High,Weak,No
Sunny,Hot,Normal,Weak,Yes
Overcast,Hot,Normal,Strong,Yes
Rain,Mild,Normal,Strong,Yes
Sunny,Cool,High,Strong,No
Overcast,Mild,High,Strong,Yes
Rain,Hot,Normal,Weak,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Hot,High,Weak,Yes
Rain,Mild,High,Strong,No
Sunny,Cool,Normal,Strong,Yes
Overcast,Cool,Normal,Weak,Yes
